#S 1
#D #D Sat Nov 2 15:25:30 2024
#U blowerT 25.0
#V signal fl
#V reference tr
#V E0 24353.538239071648
#V refE0 24350.0
#V blowerT 25.0
#V J0 165668859985.5537
#L E               x
   2.436098e+04    -2.317513e-01
   2.436193e+04    -1.651404e-01
   2.436290e+04    -8.884109e-02
   2.436384e+04    -2.663362e-02
   2.436479e+04    +3.251055e-02
   2.436575e+04    +8.298568e-02
   2.436673e+04    +1.141418e-01
   2.436763e+04    +1.255296e-01
   2.436861e+04    +1.288230e-01
   2.436957e+04    +1.180922e-01
   2.437047e+04    +1.224253e-01
   2.437148e+04    +1.131194e-01
   2.437244e+04    +1.138354e-01
   2.437335e+04    +1.130105e-01
   2.437430e+04    +9.257979e-02
   2.437523e+04    +9.509976e-02
   2.437617e+04    +9.755633e-02
   2.437718e+04    +9.319017e-02
   2.437810e+04    +8.235681e-02
   2.437904e+04    +7.326961e-02
   2.438004e+04    +5.990309e-02
   2.438097e+04    +5.339006e-02
   2.438187e+04    +3.736799e-02
   2.438282e+04    +3.804839e-02
   2.438389e+04    +1.566409e-02
   2.438476e+04    +1.086495e-02
   2.438570e+04    -8.051882e-03
   2.438661e+04    -2.070404e-02
   2.438765e+04    -3.293130e-02
   2.438857e+04    -4.415072e-02
   2.438957e+04    -5.440698e-02
   2.439057e+04    -6.022086e-02
   2.439152e+04    -6.826409e-02
   2.439253e+04    -6.940741e-02
   2.439355e+04    -7.437012e-02
   2.439448e+04    -8.192198e-02
   2.439544e+04    -7.974017e-02
   2.439643e+04    -8.234378e-02
   2.439745e+04    -7.809773e-02
   2.439840e+04    -8.173603e-02
   2.439944e+04    -7.346298e-02
   2.440042e+04    -7.591149e-02
   2.440136e+04    -7.324697e-02
   2.440235e+04    -7.382412e-02
   2.440327e+04    -7.033096e-02
   2.440425e+04    -6.818880e-02
   2.440525e+04    -5.712831e-02
   2.440619e+04    -5.563988e-02
   2.440717e+04    -5.652085e-02
   2.440809e+04    -4.501276e-02
   2.440905e+04    -4.229140e-02
   2.441001e+04    -3.428726e-02
   2.441101e+04    -2.952874e-02
   2.441197e+04    -2.144175e-02
   2.441296e+04    -1.547138e-02
   2.441393e+04    -4.206845e-03
   2.441483e+04    -2.219686e-03
   2.441578e+04    +4.120848e-03
   2.441680e+04    +1.140151e-02
   2.441774e+04    +1.881956e-02
   2.441873e+04    +2.803903e-02
   2.441971e+04    +2.950817e-02
   2.442066e+04    +2.931158e-02
