#L k               Pd_01_0001      Pd_01_0002      Pd_01_0003      Pd_01_0004      Pd_01_0005
   6.100000        +2.088800e-03   +4.590596e-05   +5.334164e-04   +5.586913e-03   -6.633917e-03
   6.200000        +7.214856e-03   +9.026538e-03   +1.177123e-02   +7.813150e-03   +8.970496e-03
   6.300000        +1.161260e-02   +8.815973e-03   +1.068881e-02   +1.101006e-02   +1.239362e-02
   6.400000        +7.678572e-03   +1.338461e-02   +9.041782e-03   +9.212853e-03   +1.304205e-02
   6.500000        +1.176052e-02   +1.294630e-02   +1.054421e-02   +1.025488e-02   +9.882258e-03
   6.600000        +1.023086e-02   +9.193813e-03   +4.919521e-03   +1.573618e-02   +7.172268e-03
   6.700000        +1.002254e-02   +9.573896e-03   +6.588309e-03   +7.774685e-03   +3.691869e-03
   6.800000        +4.408526e-03   +6.381208e-03   +7.623183e-03   +5.902137e-03   +1.057752e-02
   6.900000        +3.328094e-03   +1.035970e-02   +1.612977e-03   +6.570352e-03   +8.009224e-03
   7.000000        +7.703512e-03   +4.082449e-03   +1.140195e-03   +4.022217e-03   +4.333068e-03
   7.100000        +6.762456e-03   +5.684032e-03   +4.479606e-03   +5.027123e-03   +8.303869e-03
   7.200000        +9.478672e-03   +4.615102e-03   +4.494021e-03   +9.586473e-03   +6.874116e-03
   7.300000        +6.672729e-04   +6.626368e-03   +5.704960e-03   +8.417012e-03   +9.960759e-03
   7.400000        +6.760662e-04   +2.567729e-03   +3.612623e-03   +9.134245e-04   +1.206826e-03
   7.500000        -5.287467e-03   -7.391819e-03   -8.323466e-03   -1.095011e-02   -5.139621e-03
   7.600000        -1.713815e-02   -1.596018e-02   -1.625135e-02   -2.140541e-02   -1.799608e-02
   7.700000        -2.248070e-02   -1.684859e-02   -2.058094e-02   -1.746968e-02   -1.844774e-02
   7.800000        -1.885627e-02   -1.842598e-02   -2.311744e-02   -2.293602e-02   -2.524569e-02
   7.900000        -1.370214e-02   -1.386396e-02   -1.294839e-02   -1.112663e-02   -1.421559e-02
   8.000000        -3.356071e-03   -5.127200e-03   -4.429580e-03   -6.313710e-03   -7.930833e-03
   8.100000        +2.070939e-03   +5.312406e-03   +2.997706e-03   +9.634783e-03   +5.729238e-03
   8.200000        +1.634656e-02   +1.088754e-02   +8.678927e-03   +1.892387e-02   +1.422690e-02
   8.300000        +9.642878e-03   +1.396589e-02   +1.234535e-02   +9.845881e-03   +9.846052e-03
   8.400000        +1.461742e-02   +1.284635e-02   +1.279178e-02   +1.447228e-02   +1.297458e-02
   8.500000        +8.133710e-03   +4.628173e-03   +1.230779e-02   +7.380601e-03   +6.603748e-03
   8.600000        +6.370643e-03   +1.381446e-03   +5.407250e-05   -2.015281e-03   +1.656988e-03
   8.700000        -2.128784e-03   +2.745653e-03   -2.175908e-03   +2.665118e-03   -3.209601e-03
   8.800000        -5.478645e-03   -5.558170e-03   -1.431711e-03   -2.065299e-03   -3.634054e-03
   8.900000        -2.082401e-03   -9.079046e-03   -9.054625e-04   -4.460039e-03   -7.025387e-03
   9.000000        -2.350118e-03   +8.892895e-04   -3.521110e-03   -2.607685e-03   -4.225289e-03
   9.100000        +7.173695e-04   -3.808451e-03   +3.874228e-03   +4.035349e-03   +1.401833e-03
   9.200000        -7.203368e-04   +6.395719e-03   +2.113072e-03   +1.598317e-03   -5.488429e-04
   9.300000        +1.442461e-03   +2.360850e-03   +6.930756e-03   -6.869968e-04   +2.381081e-03
   9.400000        +3.920408e-03   -2.755026e-04   -2.918499e-03   +3.966503e-03   +4.470943e-03
   9.500000        +4.841109e-03   -1.331790e-03   +2.330263e-03   +5.809266e-03   +2.626482e-03
   9.600000        -6.252164e-04   -1.700734e-03   -5.028639e-03   +8.401480e-04   +1.607030e-03
   9.700000        -6.605010e-03   -3.805627e-03   -3.083301e-03   -8.161761e-03   -6.400887e-03
   9.800000        -3.569538e-03   -3.291802e-03   -7.823445e-03   -6.997599e-03   -7.608509e-03
   9.900000        -7.219590e-03   -9.417698e-03   -1.103068e-02   -1.148986e-02   -8.321779e-03
   10.000000       -7.199742e-03   -9.255341e-03   -3.239612e-03   -8.115069e-03   -7.937679e-03
   10.100000       -4.590043e-03   +5.077370e-04   +7.998243e-04   -4.349619e-03   -2.177268e-03
   10.200000       +5.235462e-03   +5.287411e-03   +3.848133e-03   +5.480211e-03   +1.978205e-03
   10.300000       -7.978662e-05   +3.295870e-03   +2.789294e-03   +6.169959e-03   +8.284985e-03
   10.400000       +6.770240e-03   +7.248357e-03   +3.040935e-03   +3.104174e-03   +1.098454e-02
   10.500000       +2.427705e-03   +5.963906e-03   +3.088044e-03   +1.149931e-02   +5.226499e-03
   10.600000       +6.561401e-03   +6.290629e-03   +2.493294e-03   +4.730898e-03   +1.209873e-03
   10.700000       +3.681913e-03   +6.805225e-03   +3.511683e-03   +2.942710e-03   +7.639630e-03
   10.800000       +6.972621e-03   -5.058481e-03   +2.205587e-03   +2.240853e-03   +5.734934e-03
   10.900000       +4.901131e-04   -2.464739e-04   -9.316052e-04   -9.961580e-04   +2.407462e-03
   11.000000       -1.858169e-05   -3.657220e-03   -2.989368e-03   -3.303893e-03   -1.425905e-03
   11.100000       +8.193163e-04   -6.606831e-04   -4.190451e-03   -5.228888e-03   -5.233522e-03
   11.200000       +3.275276e-03   +3.715481e-03   -1.793693e-03   -3.801223e-03   -2.353615e-03
   11.300000       -2.377370e-04   -1.775836e-03   +5.543447e-03   -5.826897e-03   -1.648930e-03
   11.400000       -3.227052e-03   -1.429974e-03   -3.015034e-03   -6.351211e-04   -2.480340e-03
   11.500000       -3.284552e-03   -1.916635e-03   +7.715489e-04   -5.919099e-03   +1.034172e-03
   11.600000       -2.818105e-03   +8.731987e-05   +3.194002e-04   +1.291622e-03   -2.095448e-03
   11.700000       +2.782921e-03   +1.990422e-03   +2.066080e-03   -2.047685e-03   -1.843805e-03
   11.800000       -4.671171e-04   +5.368283e-03   -1.189215e-03   -1.638231e-03   -1.734676e-03
   11.900000       +1.234859e-03   -4.421470e-03   -2.990526e-04   -5.933077e-03   -2.359998e-03
   12.000000       -2.455821e-03   +8.377160e-04   -6.468967e-03   -4.745081e-04   +2.797212e-03
   12.100000       -4.418139e-03   -1.730214e-03   -2.818511e-03   +8.231829e-04   -3.073836e-03
   12.200000       -1.869385e-03   +3.821998e-03   +2.346486e-03   -9.396729e-04   +9.756321e-04
   12.300000       -2.439032e-03   -4.238659e-03   +5.441401e-03   -1.443051e-03   -2.164991e-03
   12.400000       +1.729271e-04   -3.450425e-03   -3.035834e-03   +1.747079e-03   -3.018184e-03
   12.500000       +3.492874e-04   -3.597524e-03   +8.099725e-04   +1.149815e-03   -1.818655e-03
   12.600000       -4.611085e-03   -1.514147e-03   +2.167759e-03   -1.698099e-03   +3.661353e-04
   12.700000       -2.432228e-04   -8.986407e-04   -1.105946e-03   +3.330004e-03   +6.833954e-04
   12.800000       +1.450863e-03   +1.657518e-04   +7.099722e-03   +6.063292e-03   +3.829252e-03
   12.900000       +7.636055e-04   +1.425313e-03   +2.768968e-04   -2.951044e-03   +9.196254e-04
   13.000000       +4.813035e-04   -1.770186e-03   -6.520379e-04   -3.519579e-03   -6.141946e-04
   13.100000       +1.971795e-03   -8.375445e-04   -3.432361e-03   +3.386181e-03   -2.185216e-03
   13.200000       -3.306618e-03   -1.428622e-04   -1.137293e-03   -1.786518e-03   +5.345147e-03
   13.300000       -6.681099e-03   -1.810825e-04   +3.668273e-03   -4.200433e-03   -7.124031e-04
   13.400000       +2.683481e-03   -6.145413e-03   -9.273440e-04   -1.394578e-03   +2.610813e-03
   13.500000       -5.659792e-03   -2.993572e-03   +1.159430e-03   -5.608515e-03   -5.351025e-03
   13.600000       -9.156179e-04   +2.723115e-03   -3.567653e-03   +1.533719e-03   -3.349995e-03
   13.700000       +2.737097e-03   -1.305889e-03   -2.248994e-03   -3.373612e-03   -4.938961e-03
   13.800000       +1.018737e-03   -1.025208e-03   +2.985835e-03   +2.117208e-03   -5.680418e-03
   13.900000       -4.245287e-03   -8.249199e-04   +4.977783e-03   +1.708154e-03   -3.237987e-03
   14.000000       +2.860236e-03   +1.468620e-03   +1.429082e-03   -1.146614e-04   -7.665455e-04
   14.100000       +3.572676e-03   +7.143748e-03   -4.086994e-04   +3.604261e-03   +5.802864e-03
   14.200000       +2.932279e-03   +2.067725e-03   -5.130701e-04   +9.654942e-04   +4.613982e-03
   14.300000       -3.810458e-05   +6.560488e-03   +1.874900e-04   +1.240290e-03   +5.389217e-03
   14.400000       +8.395843e-04   +6.006263e-03   +2.699892e-03   -8.357826e-04   +7.840091e-03
   14.500000       +1.480065e-03   -1.388606e-03   -5.223286e-03   -1.833091e-03   +4.381557e-03
   14.600000       -4.579860e-03   -5.079760e-04   +2.097310e-03   -3.477137e-03   -5.021500e-04
   14.700000       -2.918784e-03   -3.216365e-03   +2.523305e-03   -6.074095e-03   +7.934361e-04
   14.800000       +4.315105e-04   +2.419355e-03   -1.120068e-03   +2.158809e-03   -5.220827e-03
   14.900000       -2.676172e-03   -3.702551e-03   +1.949152e-03   -4.979782e-03   +3.664513e-04
   15.000000       +2.126565e-03   -3.172326e-03   -4.826633e-03   -1.458228e-03   -3.476620e-03
   15.100000       +4.593032e-05   +1.432187e-03   +1.838139e-03   +2.291452e-03   +4.920080e-03
   15.200000       -3.095467e-03   +2.030675e-03   -6.840574e-04   +6.765285e-03   -1.430073e-03
   15.300000       +3.036367e-03   +2.084768e-03   +3.489212e-03   -2.724386e-03   +3.915082e-03
   15.400000       +3.424049e-03   -3.430790e-03   -1.052896e-03   +2.464539e-03   -7.709585e-04
   15.500000       +9.073573e-04   -3.730599e-03   +3.025049e-03   +1.280405e-03   -6.446701e-03
   15.600000       +1.686963e-03   +3.783484e-03   +6.779702e-05   +1.256889e-03   +1.598394e-03
   15.700000       -5.714580e-04   -2.301867e-04   -5.665221e-03   -3.300015e-03   +2.024158e-03
   15.800000       -6.766334e-03   -1.279934e-03   -3.852262e-03   +7.787201e-04   +2.371170e-03
   15.900000       +1.703131e-03   -2.500272e-03   +1.390972e-03   -1.431660e-03   -2.083253e-03
   16.000000       +3.752758e-03   -1.108709e-03   -1.504247e-03   +3.021715e-03   -5.265123e-04
   16.100000       +3.014215e-03   +3.611903e-04   -1.962414e-03   +1.371274e-03   +1.639829e-03
   16.200000       +4.954769e-03   -1.424792e-03   -1.352280e-04   -1.843463e-03   +2.633935e-03
   16.300000       -3.161538e-03   +9.319498e-04   -1.552969e-03   +1.482120e-03   -5.245751e-03
   16.400000       -5.566055e-04   -5.120073e-03   -6.048187e-03   -1.455483e-03   -3.469924e-03
   16.500000       -2.657644e-03   -1.032598e-03   +9.290403e-05   -4.906947e-03   -3.705292e-03
   16.600000       -6.158479e-03   -5.188020e-04   -3.947983e-03   -1.484392e-03   -2.308763e-03
   16.700000       -5.146164e-03   -3.832794e-03   +3.566819e-04   -6.016773e-03   +8.447309e-04
   16.800000       -3.986458e-03   -1.700571e-03   +2.870150e-03   -1.491488e-03   -1.676362e-03
   16.900000       -3.391528e-03   +4.257230e-04   -8.290940e-04   +7.921281e-04   -2.011519e-03
