#S 1
#D #D Sat Nov 2 15:16:44 2024
#U blowerT 25.0
#V signal fl
#V reference tr
#V E0 24353.395981617243
#V refE0 24350.0
#V blowerT 25.0
#V J0 165717437747.07693
#L E               x
   2.420023e+04    -9.998218e-01
   2.420116e+04    -9.998780e-01
   2.420211e+04    -9.985801e-01
   2.420301e+04    -9.996630e-01
   2.420400e+04    -9.996465e-01
   2.420492e+04    -1.000377e+00
   2.420585e+04    -1.000737e+00
   2.420680e+04    -9.996913e-01
   2.420766e+04    -9.988827e-01
   2.420864e+04    -9.994108e-01
   2.420957e+04    -9.995339e-01
   2.421049e+04    -9.995573e-01
   2.421143e+04    -1.000449e+00
   2.421242e+04    -9.994687e-01
   2.421329e+04    -9.994149e-01
   2.421415e+04    -1.000038e+00
   2.421511e+04    -1.000534e+00
   2.421606e+04    -1.000372e+00
   2.421705e+04    -9.999509e-01
   2.421787e+04    -9.995725e-01
   2.421877e+04    -1.000261e+00
   2.421968e+04    -9.998581e-01
   2.422066e+04    -1.000883e+00
   2.422162e+04    -9.999174e-01
   2.422251e+04    -1.001121e+00
   2.422343e+04    -9.995510e-01
   2.422442e+04    -1.000170e+00
   2.422530e+04    -1.000180e+00
   2.422625e+04    -9.999221e-01
   2.422720e+04    -9.999861e-01
   2.422808e+04    -9.996437e-01
   2.422900e+04    -9.997886e-01
   2.422995e+04    -1.000485e+00
   2.423092e+04    -1.000082e+00
   2.423179e+04    -9.997185e-01
   2.423272e+04    -1.000115e+00
   2.423365e+04    -9.993145e-01
   2.423456e+04    -1.000452e+00
   2.423550e+04    -1.000628e+00
   2.423646e+04    -1.000556e+00
   2.423736e+04    -1.000952e+00
   2.423826e+04    -1.001134e+00
   2.423918e+04    -1.000410e+00
   2.424015e+04    -1.000407e+00
   2.424109e+04    -9.996318e-01
   2.424199e+04    -1.000429e+00
   2.424296e+04    -9.999214e-01
   2.424387e+04    -1.000230e+00
   2.424478e+04    -1.000655e+00
   2.424571e+04    -9.998037e-01
   2.424666e+04    -1.000237e+00
   2.424760e+04    -1.000524e+00
   2.424855e+04    -1.000920e+00
   2.424947e+04    -1.000904e+00
   2.425036e+04    -9.997747e-01
   2.425128e+04    -1.000041e+00
   2.425222e+04    -1.000663e+00
   2.425316e+04    -9.994354e-01
   2.425408e+04    -9.994503e-01
