#S 1
#D #D Sat Nov 2 15:22:34 2024
#U blowerT 25.0
#V signal fl
#V reference tr
#V E0 24353.638609741232
#V refE0 24350.0
#V blowerT 25.0
#V J0 165607055505.1904
#L E               x
   2.420012e+04    -9.997125e-01
   2.420109e+04    -9.994052e-01
   2.420202e+04    -1.000503e+00
   2.420293e+04    -9.999139e-01
   2.420394e+04    -9.988805e-01
   2.420488e+04    -9.990065e-01
   2.420574e+04    -9.995023e-01
   2.420672e+04    -9.996093e-01
   2.420767e+04    -1.000014e+00
   2.420864e+04    -9.992607e-01
   2.420959e+04    -9.996005e-01
   2.421045e+04    -9.986210e-01
   2.421139e+04    -1.000763e+00
   2.421231e+04    -1.000014e+00
   2.421320e+04    -1.000030e+00
   2.421418e+04    -9.997936e-01
   2.421501e+04    -9.995376e-01
   2.421595e+04    -1.000449e+00
   2.421687e+04    -1.001612e+00
   2.421775e+04    -1.000055e+00
   2.421880e+04    -1.000295e+00
   2.421960e+04    -9.999781e-01
   2.422055e+04    -9.997268e-01
   2.422156e+04    -1.001200e+00
   2.422242e+04    -9.999151e-01
   2.422339e+04    -9.994652e-01
   2.422429e+04    -1.000058e+00
   2.422526e+04    -9.995898e-01
   2.422616e+04    -9.998337e-01
   2.422707e+04    -1.000531e+00
   2.422802e+04    -9.999143e-01
   2.422891e+04    -1.000127e+00
   2.422986e+04    -1.000830e+00
   2.423081e+04    -9.998801e-01
   2.423170e+04    -1.000475e+00
   2.423266e+04    -1.000030e+00
   2.423352e+04    -9.997315e-01
   2.423448e+04    -1.000004e+00
   2.423540e+04    -1.000068e+00
   2.423641e+04    -1.000391e+00
   2.423724e+04    -9.999514e-01
   2.423825e+04    -9.999093e-01
   2.423915e+04    -1.000947e+00
   2.424008e+04    -9.998454e-01
   2.424104e+04    -1.000461e+00
   2.424194e+04    -1.000212e+00
   2.424284e+04    -1.000473e+00
   2.424382e+04    -1.001278e+00
   2.424475e+04    -1.000160e+00
   2.424567e+04    -1.000550e+00
   2.424653e+04    -1.000642e+00
   2.424750e+04    -1.000449e+00
   2.424848e+04    -1.000553e+00
   2.424939e+04    -1.000192e+00
   2.425023e+04    -1.000594e+00
   2.425115e+04    -9.996957e-01
   2.425210e+04    -1.000437e+00
   2.425304e+04    -9.999873e-01
   2.425400e+04    -1.000062e+00
   2.425490e+04    -1.000557e+00
   2.425582e+04    -9.998167e-01
   2.425678e+04    -1.000376e+00
   2.425771e+04    -1.000083e+00
   2.425868e+04    -1.000030e+00
   2.425968e+04    -1.000222e+00
   2.426056e+04    -9.994909e-01
   2.426139e+04    -9.993414e-01
   2.426244e+04    -1.001513e+00
   2.426338e+04    -9.999213e-01
   2.426429e+04    -9.997109e-01
   2.426518e+04    -9.994016e-01
   2.426607e+04    -9.991880e-01
   2.426706e+04    -1.000053e+00
   2.426798e+04    -9.995979e-01
   2.426899e+04    -9.990103e-01
   2.426988e+04    -9.991977e-01
   2.427073e+04    -1.000113e+00
   2.427174e+04    -9.998760e-01
   2.427269e+04    -9.992850e-01
   2.427363e+04    -9.984883e-01
   2.427457e+04    -9.987796e-01
   2.427548e+04    -9.994476e-01
   2.427644e+04    -9.983020e-01
   2.427735e+04    -9.990124e-01
   2.427826e+04    -9.987966e-01
   2.427924e+04    -9.986210e-01
   2.428018e+04    -9.980942e-01
   2.428111e+04    -9.980563e-01
   2.428205e+04    -9.981611e-01
   2.428300e+04    -9.982293e-01
   2.428398e+04    -9.973654e-01
   2.428490e+04    -9.973009e-01
   2.428588e+04    -9.970577e-01
   2.428688e+04    -9.976016e-01
   2.428780e+04    -9.979095e-01
   2.428872e+04    -9.963539e-01
   2.428967e+04    -9.972032e-01
   2.429066e+04    -9.975108e-01
   2.429151e+04    -9.962136e-01
   2.429253e+04    -9.968217e-01
   2.429344e+04    -9.955158e-01
   2.429440e+04    -9.959993e-01
   2.429535e+04    -9.958929e-01
   2.429625e+04    -9.963206e-01
