#S 1
#D #D Sat Nov 2 15:13:50 2024
#U blowerT 25.1
#V signal fl
#V reference tr
#V E0 24353.477867499663
#V refE0 24350.0
#V blowerT 25.1
#V J0 165678492574.17212
#L E               x
   2.420024e+04    -9.999716e-01
   2.420116e+04    -9.988821e-01
   2.420210e+04    -9.993816e-01
   2.420308e+04    -9.990742e-01
   2.420400e+04    -1.000393e+00
   2.420492e+04    -9.995805e-01
   2.420588e+04    -9.998941e-01
   2.420687e+04    -9.995234e-01
   2.420773e+04    -1.000936e+00
   2.420872e+04    -9.997006e-01
   2.420964e+04    -9.990679e-01
   2.421059e+04    -9.998341e-01
   2.421156e+04    -9.992743e-01
   2.421238e+04    -1.000167e+00
   2.421327e+04    -1.000988e+00
   2.421426e+04    -1.000007e+00
   2.421521e+04    -1.000443e+00
   2.421609e+04    -9.999359e-01
   2.421701e+04    -1.000154e+00
   2.421793e+04    -1.000636e+00
   2.421887e+04    -9.996935e-01
   2.421975e+04    -1.001199e+00
   2.422068e+04    -1.000256e+00
   2.422159e+04    -9.999693e-01
   2.422258e+04    -9.994196e-01
   2.422344e+04    -1.000371e+00
   2.422437e+04    -1.000020e+00
   2.422531e+04    -1.000263e+00
   2.422623e+04    -9.995703e-01
   2.422724e+04    -9.996282e-01
   2.422813e+04    -9.999637e-01
   2.422909e+04    -1.000649e+00
   2.422994e+04    -9.989271e-01
   2.423086e+04    -1.000773e+00
   2.423183e+04    -1.000129e+00
   2.423269e+04    -9.994627e-01
   2.423362e+04    -9.999955e-01
   2.423455e+04    -9.996729e-01
   2.423551e+04    -9.996954e-01
   2.423645e+04    -1.000080e+00
   2.423741e+04    -9.998908e-01
   2.423833e+04    -1.000893e+00
   2.423921e+04    -1.000737e+00
   2.424016e+04    -1.000562e+00
   2.424108e+04    -1.000139e+00
   2.424204e+04    -1.000495e+00
   2.424293e+04    -1.000218e+00
   2.424395e+04    -1.000542e+00
   2.424483e+04    -9.999293e-01
   2.424577e+04    -9.994412e-01
   2.424668e+04    -9.999880e-01
   2.424755e+04    -1.001231e+00
   2.424853e+04    -1.000616e+00
   2.424947e+04    -1.000071e+00
   2.425036e+04    -9.995908e-01
   2.425124e+04    -1.001447e+00
   2.425220e+04    -1.000682e+00
   2.425312e+04    -1.000821e+00
   2.425410e+04    -9.995786e-01
   2.425501e+04    -1.000272e+00
   2.425594e+04    -1.000593e+00
   2.425684e+04    -9.999797e-01
   2.425778e+04    -9.989582e-01
   2.425870e+04    -1.000287e+00
   2.425978e+04    -9.992730e-01
   2.426064e+04    -9.998344e-01
   2.426153e+04    -1.000318e+00
   2.426250e+04    -9.997144e-01
   2.426348e+04    -9.988769e-01
   2.426434e+04    -9.997953e-01
   2.426528e+04    -1.000679e+00
   2.426623e+04    -1.000360e+00
   2.426717e+04    -9.997714e-01
   2.426809e+04    -1.000272e+00
   2.426906e+04    -9.993704e-01
   2.427000e+04    -9.993093e-01
   2.427090e+04    -9.999011e-01
   2.427183e+04    -9.987905e-01
   2.427274e+04    -9.991902e-01
   2.427369e+04    -9.992540e-01
   2.427469e+04    -9.988003e-01
   2.427559e+04    -9.987188e-01
   2.427652e+04    -9.983137e-01
   2.427752e+04    -9.986208e-01
   2.427838e+04    -9.980842e-01
   2.427931e+04    -9.988376e-01
   2.428031e+04    -9.980307e-01
   2.428121e+04    -9.987284e-01
   2.428213e+04    -9.976413e-01
   2.428305e+04    -9.990248e-01
   2.428406e+04    -9.982231e-01
   2.428500e+04    -9.978286e-01
   2.428596e+04    -9.978084e-01
   2.428697e+04    -9.977814e-01
   2.428792e+04    -9.983660e-01
   2.428880e+04    -9.978975e-01
   2.428972e+04    -9.969332e-01
   2.429069e+04    -9.965792e-01
   2.429164e+04    -9.970684e-01
   2.429259e+04    -9.965251e-01
   2.429356e+04    -9.954234e-01
   2.429448e+04    -9.965453e-01
   2.429545e+04    -9.965824e-01
   2.429638e+04    -9.954497e-01
   2.429731e+04    -9.950745e-01
   2.429821e+04    -9.965369e-01
   2.429923e+04    -9.947597e-01
   2.430013e+04    -9.941044e-01
   2.430105e+04    -9.944609e-01
   2.430207e+04    -9.944606e-01
   2.430296e+04    -9.934824e-01
   2.430393e+04    -9.935504e-01
   2.430487e+04    -9.931856e-01
