#L E_Pd_01_0001    x_Pd_01_0001    E_Pd_01_0002    x_Pd_01_0002    E_Pd_01_0003    x_Pd_01_0003    E_Pd_01_0004    x_Pd_01_0004    E_Pd_01_0005    x_Pd_01_0005
   2.423269e+04    +5.373004e-04   2.423272e+04    -1.147689e-04   2.423282e+04    +1.206270e-03   2.423266e+04    -3.031955e-05   2.423273e+04    -9.097179e-04
   2.423362e+04    +4.463891e-06   2.423365e+04    +6.854795e-04   2.423372e+04    -1.658199e-04   2.423352e+04    +2.684711e-04   2.423364e+04    +4.401490e-04
   2.423455e+04    +3.270634e-04   2.423456e+04    -4.517184e-04   2.423461e+04    -2.740718e-04   2.423448e+04    -3.646881e-06   2.423455e+04    +1.478414e-04
   2.423551e+04    +3.046243e-04   2.423550e+04    -6.276605e-04   2.423561e+04    -6.346647e-04   2.423540e+04    -6.813766e-05   2.423547e+04    -8.533878e-04
   2.423645e+04    -7.974688e-05   2.423646e+04    -5.558082e-04   2.423655e+04    +4.232360e-04   2.423641e+04    -3.907749e-04   2.423642e+04    -4.179672e-04
   2.423741e+04    +1.091548e-04   2.423736e+04    -9.521568e-04   2.423747e+04    +5.426131e-04   2.423724e+04    +4.864212e-05   2.423735e+04    -1.104704e-03
   2.423833e+04    -8.934188e-04   2.423826e+04    -1.133831e-03   2.423846e+04    -2.057989e-04   2.423825e+04    +9.065585e-05   2.423830e+04    -1.197057e-03
   2.423921e+04    -7.366032e-04   2.423918e+04    -4.104113e-04   2.423930e+04    -1.144825e-03   2.423915e+04    -9.473889e-04   2.423925e+04    -7.326554e-04
   2.424016e+04    -5.621128e-04   2.424015e+04    -4.067477e-04   2.424023e+04    -6.051397e-04   2.424008e+04    +1.545719e-04   2.424011e+04    -2.579402e-04
   2.424108e+04    -1.385112e-04   2.424109e+04    +3.682051e-04   2.424120e+04    -1.835412e-04   2.424104e+04    -4.609053e-04   2.424107e+04    -5.143298e-04
   2.424204e+04    -4.947519e-04   2.424199e+04    -4.290855e-04   2.424210e+04    -1.468150e-03   2.424194e+04    -2.115500e-04   2.424202e+04    -3.178030e-04
   2.424293e+04    -2.183874e-04   2.424296e+04    +7.860204e-05   2.424309e+04    -9.032371e-04   2.424284e+04    -4.732113e-04   2.424299e+04    -6.142015e-04
   2.424395e+04    -5.416929e-04   2.424387e+04    -2.301543e-04   2.424396e+04    +8.407177e-05   2.424382e+04    -1.277909e-03   2.424391e+04    -1.534421e-03
   2.424483e+04    +7.073637e-05   2.424478e+04    -6.552408e-04   2.424492e+04    +6.689611e-04   2.424475e+04    -1.604995e-04   2.424480e+04    -8.945003e-04
