#S 1
#D #D Sat Nov 2 15:19:39 2024
#U blowerT 25.0
#V signal fl
#V reference tr
#V E0 24353.64211995039
#V refE0 24350.0
#V blowerT 25.0
#V J0 165660774881.8581
#L E               x
   2.420037e+04    -9.998472e-01
   2.420126e+04    -1.000065e+00
   2.420224e+04    -9.998234e-01
   2.420316e+04    -9.991878e-01
   2.420407e+04    -9.991213e-01
   2.420504e+04    -9.997958e-01
   2.420606e+04    -9.996315e-01
   2.420691e+04    -9.995116e-01
   2.420787e+04    -9.995525e-01
   2.420878e+04    -9.998097e-01
   2.420970e+04    -1.000430e+00
   2.421067e+04    -9.994148e-01
   2.421155e+04    -9.997367e-01
   2.421248e+04    -9.999946e-01
   2.421340e+04    -9.996714e-01
   2.421428e+04    -1.000401e+00
   2.421525e+04    -9.992078e-01
   2.421610e+04    -1.000814e+00
   2.421709e+04    -9.998312e-01
   2.421797e+04    -9.995388e-01
   2.421894e+04    -1.000044e+00
   2.421989e+04    -1.000792e+00
   2.422077e+04    -1.000041e+00
   2.422170e+04    -1.000186e+00
   2.422262e+04    -9.999108e-01
   2.422358e+04    -1.000076e+00
   2.422447e+04    -1.000432e+00
   2.422540e+04    -1.000542e+00
   2.422632e+04    -9.999802e-01
   2.422724e+04    -1.000597e+00
   2.422822e+04    -1.000126e+00
   2.422915e+04    -1.000186e+00
   2.422997e+04    -1.000162e+00
   2.423095e+04    -1.000224e+00
   2.423191e+04    -9.996234e-01
   2.423282e+04    -9.987937e-01
   2.423372e+04    -1.000166e+00
   2.423461e+04    -1.000274e+00
   2.423561e+04    -1.000635e+00
   2.423655e+04    -9.995768e-01
   2.423748e+04    -9.994574e-01
   2.423846e+04    -1.000206e+00
   2.423930e+04    -1.001145e+00
   2.424023e+04    -1.000605e+00
   2.424120e+04    -1.000184e+00
   2.424210e+04    -1.001468e+00
   2.424309e+04    -1.000903e+00
   2.424396e+04    -9.999159e-01
   2.424492e+04    -9.993310e-01
   2.424580e+04    -1.000814e+00
   2.424675e+04    -9.999390e-01
   2.424761e+04    -1.000477e+00
   2.424858e+04    -1.000572e+00
   2.424954e+04    -1.000821e+00
   2.425046e+04    -9.996062e-01
   2.425139e+04    -9.998423e-01
   2.425231e+04    -1.000598e+00
   2.425323e+04    -1.001296e+00
   2.425416e+04    -9.999492e-01
   2.425508e+04    -1.001185e+00
   2.425605e+04    -9.999741e-01
   2.425693e+04    -1.000048e+00
   2.425791e+04    -9.993021e-01
   2.425885e+04    -1.000905e+00
   2.425984e+04    -1.000222e+00
   2.426073e+04    -9.989742e-01
   2.426170e+04    -9.999054e-01
   2.426264e+04    -9.999504e-01
   2.426348e+04    -9.998344e-01
   2.426443e+04    -9.994762e-01
   2.426542e+04    -9.999395e-01
   2.426628e+04    -9.999489e-01
   2.426722e+04    -9.993164e-01
   2.426822e+04    -9.988326e-01
   2.426918e+04    -9.995051e-01
   2.427011e+04    -9.998062e-01
   2.427101e+04    -9.994493e-01
   2.427198e+04    -9.985569e-01
   2.427288e+04    -9.999849e-01
   2.427386e+04    -9.980034e-01
   2.427477e+04    -9.983603e-01
   2.427569e+04    -9.985705e-01
   2.427661e+04    -9.991847e-01
   2.427751e+04    -9.974368e-01
   2.427849e+04    -9.989913e-01
   2.427942e+04    -9.983104e-01
   2.428033e+04    -9.973067e-01
   2.428130e+04    -9.981609e-01
   2.428227e+04    -9.968901e-01
   2.428324e+04    -9.974721e-01
   2.428411e+04    -9.965887e-01
   2.428511e+04    -9.973391e-01
   2.428603e+04    -9.984706e-01
   2.428697e+04    -9.978155e-01
   2.428793e+04    -9.982271e-01
   2.428891e+04    -9.971350e-01
   2.428980e+04    -9.969428e-01
   2.429075e+04    -9.959062e-01
   2.429174e+04    -9.973016e-01
   2.429271e+04    -9.972217e-01
   2.429359e+04    -9.960318e-01
   2.429463e+04    -9.964224e-01
   2.429553e+04    -9.961348e-01
   2.429649e+04    -9.961350e-01
   2.429738e+04    -9.959565e-01
   2.429837e+04    -9.952134e-01
   2.429931e+04    -9.947663e-01
   2.430022e+04    -9.952193e-01
   2.430123e+04    -9.935837e-01
   2.430216e+04    -9.932411e-01
   2.430309e+04    -9.937090e-01
   2.430402e+04    -9.930058e-01
   2.430494e+04    -9.927456e-01
   2.430591e+04    -9.929885e-01
   2.430687e+04    -9.926555e-01
   2.430779e+04    -9.921452e-01
   2.430884e+04    -9.908222e-01
   2.430966e+04    -9.924283e-01
   2.431066e+04    -9.911390e-01
   2.431159e+04    -9.897623e-01
   2.431257e+04    -9.889122e-01
   2.431347e+04    -9.901367e-01
   2.431441e+04    -9.883341e-01
   2.431532e+04    -9.884566e-01
   2.431627e+04    -9.880165e-01
   2.431719e+04    -9.869180e-01
   2.431816e+04    -9.858128e-01
   2.431912e+04    -9.855495e-01
   2.432007e+04    -9.864239e-01
   2.432099e+04    -9.840331e-01
   2.432189e+04    -9.822096e-01
   2.432293e+04    -9.834012e-01
   2.432382e+04    -9.820979e-01
   2.432483e+04    -9.792103e-01
   2.432584e+04    -9.780369e-01
   2.432671e+04    -9.782601e-01
   2.432771e+04    -9.758498e-01
   2.432862e+04    -9.754422e-01
   2.432960e+04    -9.736582e-01
   2.433046e+04    -9.728479e-01
   2.433145e+04    -9.699870e-01
   2.433240e+04    -9.674291e-01
   2.433333e+04    -9.653801e-01
   2.433428e+04    -9.638155e-01
   2.433520e+04    -9.607861e-01
   2.433621e+04    -9.604201e-01
   2.433712e+04    -9.559138e-01
   2.433805e+04    -9.537429e-01
   2.433906e+04    -9.498586e-01
   2.433996e+04    -9.445442e-01
   2.434093e+04    -9.392415e-01
   2.434184e+04    -9.335568e-01
   2.434280e+04    -9.282359e-01
   2.434376e+04    -9.206639e-01
   2.434470e+04    -9.088272e-01
   2.434563e+04    -8.976467e-01
   2.434659e+04    -8.832872e-01
   2.434759e+04    -8.662987e-01
   2.434854e+04    -8.409472e-01
   2.434943e+04    -8.171455e-01
   2.435040e+04    -7.840553e-01
   2.435139e+04    -7.475280e-01
   2.435229e+04    -6.961999e-01
   2.435330e+04    -6.422046e-01
   2.435427e+04    -5.888383e-01
   2.435525e+04    -5.352086e-01
   2.435623e+04    -4.852905e-01
   2.435714e+04    -4.422578e-01
   2.435817e+04    -3.993343e-01
   2.435918e+04    -3.517518e-01
   2.436007e+04    -2.914459e-01
   2.436102e+04    -2.307034e-01
   2.436205e+04    -1.584650e-01
   2.436297e+04    -9.516586e-02
   2.436390e+04    -2.248336e-02
   2.436484e+04    +3.663816e-02
   2.436579e+04    +7.774267e-02
   2.436674e+04    +1.159623e-01
   2.436774e+04    +1.311459e-01
   2.436866e+04    +1.327367e-01
   2.436966e+04    +1.280926e-01
   2.437058e+04    +1.199299e-01
   2.437150e+04    +1.123486e-01
   2.437250e+04    +1.055013e-01
   2.437346e+04    +1.015419e-01
   2.437437e+04    +1.026624e-01
   2.437532e+04    +9.526640e-02
   2.437622e+04    +9.208662e-02
   2.437718e+04    +8.533509e-02
   2.437819e+04    +8.488076e-02
   2.437915e+04    +7.325037e-02
   2.438011e+04    +5.892932e-02
   2.438102e+04    +4.821903e-02
   2.438196e+04    +3.926381e-02
   2.438294e+04    +3.619733e-02
   2.438388e+04    +1.691146e-02
   2.438482e+04    +8.197786e-03
   2.438580e+04    -9.413213e-03
   2.438680e+04    -1.632044e-02
   2.438768e+04    -3.454897e-02
   2.438871e+04    -3.908034e-02
   2.438969e+04    -5.758865e-02
   2.439072e+04    -6.082323e-02
   2.439165e+04    -6.325270e-02
   2.439262e+04    -7.520851e-02
   2.439361e+04    -7.086267e-02
   2.439459e+04    -7.585928e-02
   2.439558e+04    -7.973560e-02
   2.439650e+04    -8.147812e-02
   2.439747e+04    -8.097173e-02
   2.439849e+04    -7.960975e-02
   2.439950e+04    -7.713081e-02
   2.440048e+04    -7.774200e-02
   2.440143e+04    -6.606980e-02
   2.440237e+04    -7.024022e-02
   2.440329e+04    -7.223045e-02
   2.440431e+04    -6.322165e-02
   2.440520e+04    -6.681083e-02
   2.440624e+04    -5.867538e-02
   2.440719e+04    -5.436504e-02
   2.440818e+04    -5.054680e-02
   2.440908e+04    -4.420969e-02
   2.441006e+04    -3.699671e-02
   2.441102e+04    -2.857530e-02
   2.441193e+04    -2.159446e-02
   2.441290e+04    -1.266114e-02
   2.441397e+04    -1.068826e-02
   2.441485e+04    +3.161032e-03
   2.441577e+04    +2.843104e-03
   2.441676e+04    +1.031721e-02
   2.441773e+04    +1.469461e-02
   2.441876e+04    +2.234330e-02
   2.441972e+04    +2.708850e-02
   2.442077e+04    +3.546161e-02
   2.442165e+04    +4.269484e-02
   2.442262e+04    +4.845078e-02
   2.442366e+04    +4.599593e-02
   2.442457e+04    +5.354574e-02
   2.442558e+04    +6.070570e-02
   2.442652e+04    +5.943367e-02
   2.442740e+04    +6.348871e-02
   2.442839e+04    +5.746402e-02
   2.442938e+04    +5.468800e-02
   2.443035e+04    +5.955253e-02
   2.443134e+04    +5.518750e-02
   2.443230e+04    +4.835892e-02
   2.443323e+04    +4.632659e-02
   2.443423e+04    +4.225847e-02
   2.443514e+04    +3.599592e-02
   2.443608e+04    +3.923101e-02
   2.443704e+04    +3.196224e-02
   2.443806e+04    +3.329090e-02
   2.443901e+04    +2.717882e-02
   2.444000e+04    +2.403357e-02
   2.444095e+04    +2.953053e-02
   2.444191e+04    +2.758581e-02
   2.444295e+04    +2.508562e-02
   2.444383e+04    +2.984424e-02
   2.444487e+04    +2.873948e-02
   2.444576e+04    +2.424994e-02
   2.444675e+04    +2.956247e-02
   2.444772e+04    +2.933765e-02
   2.444865e+04    +2.457853e-02
   2.444967e+04    +2.547541e-02
   2.445066e+04    +2.954773e-02
   2.445156e+04    +2.816748e-02
   2.445252e+04    +2.195463e-02
   2.445353e+04    +2.309078e-02
   2.445452e+04    +1.296762e-02
   2.445544e+04    +1.283454e-02
   2.445649e+04    +8.993826e-03
   2.445749e+04    +8.833116e-03
   2.445848e+04    +3.150925e-03
   2.445948e+04    +1.091141e-02
   2.446041e+04    +4.875379e-03
   2.446137e+04    +1.900131e-03
   2.446238e+04    +1.204441e-03
   2.446332e+04    -2.733991e-03
   2.446426e+04    -4.982711e-03
   2.446524e+04    -4.367518e-03
   2.446620e+04    -4.159954e-03
   2.446719e+04    -8.756038e-03
   2.446820e+04    -1.175787e-02
   2.446915e+04    -5.219782e-03
   2.447014e+04    -4.553431e-03
   2.447109e+04    -6.904194e-03
   2.447213e+04    -9.999308e-03
   2.447302e+04    -1.110130e-02
   2.447402e+04    -1.115961e-02
   2.447497e+04    -1.398672e-02
   2.447596e+04    -1.349795e-02
   2.447693e+04    -1.809782e-02
   2.447786e+04    -1.815858e-02
   2.447890e+04    -1.423645e-02
   2.447985e+04    -1.556321e-02
   2.448079e+04    -1.163854e-02
   2.448183e+04    -1.487270e-02
   2.448273e+04    -1.284510e-02
   2.448376e+04    -6.368086e-03
   2.448469e+04    -1.288676e-02
   2.448570e+04    -1.026551e-02
   2.448666e+04    +5.838121e-04
   2.448767e+04    -6.865160e-03
   2.448868e+04    +6.639619e-03
   2.448962e+04    +5.047428e-03
   2.449066e+04    +2.957399e-03
   2.449160e+04    +2.541444e-03
   2.449265e+04    +1.076766e-02
   2.449359e+04    +1.097306e-02
   2.449454e+04    +1.073258e-02
   2.449551e+04    +1.255859e-02
   2.449649e+04    +1.111456e-02
   2.449747e+04    +1.709978e-02
   2.449842e+04    +2.394319e-02
   2.449939e+04    +1.811918e-02
   2.450037e+04    +2.513400e-02
   2.450130e+04    +2.104677e-02
   2.450229e+04    +2.271660e-02
   2.450325e+04    +2.139638e-02
   2.450423e+04    +2.083031e-02
   2.450521e+04    +2.340032e-02
   2.450627e+04    +2.702853e-02
   2.450718e+04    +2.352564e-02
   2.450817e+04    +2.453395e-02
   2.450908e+04    +1.912738e-02
   2.451004e+04    +2.170424e-02
   2.451104e+04    +2.431962e-02
   2.451199e+04    +2.186645e-02
   2.451300e+04    +2.344582e-02
   2.451396e+04    +2.099243e-02
   2.451488e+04    +2.129128e-02
   2.451585e+04    +2.244647e-02
   2.451684e+04    +2.512639e-02
   2.451782e+04    +1.939507e-02
   2.451881e+04    +2.648051e-02
   2.451980e+04    +1.341770e-02
   2.452076e+04    +2.308270e-02
   2.452173e+04    +1.970414e-02
   2.452264e+04    +1.972801e-02
   2.452370e+04    +1.742243e-02
   2.452471e+04    +1.609091e-02
   2.452563e+04    +1.818546e-02
   2.452666e+04    +2.133059e-02
